Listing,Price,Location,Link,Image
2000 Harley-Davidson Sportster / One owner 7346 Miles,4900.00,Santa Fe,https://sacramento.craigslist.org/mcd/d/sacramento-2022-yamaha-yzf-r7-supersport/7897411437.html,https://images.craigslist.org/00g0g_9slw9uQkcf9_0CI0t2_600x450.jpg
2017 Harley-Davidson FLTRXS - Road Glide Special SKU:U79425 V Tw,15995.00,Folsom,https://phoenix.craigslist.org/wvl/mcy/d/glendale-2022-cf-moto-clx-700-sport/7897410726.html,https://images.craigslist.org/00w0w_5AgKnhlhQpb_0gw0co_600x450.jpg
Honda CRF 300 L Rally,6000.00,Port Hueneme CBC Base,https://santafe.craigslist.org/mcy/d/santa-fe-2024-bmw-r12/7897410097.html,https://images.craigslist.org/00Z0Z_8sVga3B2WOU_0t20CI_600x450.jpg
Honda PCX 150,3900.00,Bend,https://minneapolis.craigslist.org/hnp/mcd/d/delano-2024-honda-gold-wing-bagger-low/7897409734.html,https://images.craigslist.org/00Y0Y_7sONhw55TzZ_0lM0t2_600x450.jpg
2002 Yamaha FZ1,4500.00,Hermosa Beach,https://chicago.craigslist.org/nwc/mcd/d/big-bend-2018-bmw-1600-black-storm/7897408505.html,https://images.craigslist.org/00I0I_bBw1mtvnX1_0CI0t2_600x450.jpg
2021 YAMAHA YZF R1,16895.00,Rolling Meadows,https://denver.craigslist.org/mcd/d/denver-2019-aluma-mc1f/7897406872.html,https://images.craigslist.org/01515_f2pJ9zHr1W4_0CI0t2_600x450.jpg
2017 Harley-Davidson FLTRXS - Road Glide Special SKU:U79425 V Tw,15995.00,Folsom,https://palmsprings.craigslist.org/mcy/d/blythe-2006-honda-trx-250/7897406817.html,https://images.craigslist.org/00w0w_5AgKnhlhQpb_0gw0co_600x450.jpg
2020 BMW K1600GT,16750.00,Frisco,https://ventura.craigslist.org/mcy/d/ventura-2008-can-am-spyder/7897406814.html,https://images.craigslist.org/00E0E_1CjddgX4NcY_1320MM_600x450.jpg
"Three-wheeled mini golf cart $2,495 cash price plus taxes.",2495.00,Clovis,https://yakima.craigslist.org/mcd/d/kittitas-new-2026-yamaha-yz125x-dirt/7897405736.html,https://images.craigslist.org/00q0q_eYIzxFDabxM_0CI0CI_600x450.jpg
2017 Harley-Davidson FLTRXS - Road Glide Special SKU:U79106 V Tw,12995.00,Folsom,https://seattle.craigslist.org/see/mcd/d/salem-2025-gas-gas-es350-es500-save/7897405667.html,https://images.craigslist.org/00W0W_db3aqbplLs9_0gw0co_600x450.jpg
